# Company, Experience, Salary
      A  ,    0.0    ,  29360
      A  ,    0.0    ,  29230
      A  ,    0.5    ,  33770
      A  ,    0.7    ,  29900
      A  ,    0.9    ,  32360
      A  ,    1.5    ,  32740
      A  ,    1.7    ,  35180
      A  ,    2.0    ,  37170
      A  ,    2.1    ,  34100
      A  ,    3.6    ,  43090
      A  ,    5.0    ,  46800
      A  ,    5.1    ,  46300
      A  ,    6.0    ,  49800
      A  ,    7.1    ,  49930
      A  ,    7.1    ,  51050
      A  ,    7.7    ,  51230
      A  ,    7.8    ,  52860
      A  ,    8.4    ,  56260
      A  ,    8.4    ,  53820
      A  ,    9.4    ,  57410
      A  ,   10.0    ,  58630
      B  ,    0.0    ,  43310
      B  ,    0.3    ,  46740
      B  ,    0.5    ,  46200
      B  ,    0.7    ,  45370
      B  ,    2.1    ,  52280
      B  ,    2.5    ,  54080
      B  ,    2.9    ,  57190
      B  ,    2.9    ,  57700
      B  ,    3.5    ,  60160
      B  ,    3.5    ,  58870
      B  ,    5.0    ,  65770
      B  ,    5.2    ,  63250
      B  ,    5.7    ,  69170
      B  ,    7.1    ,  73010
      B  ,    7.6    ,  73280
      B  ,    7.7    ,  75240
      B  ,    7.9    ,  74870
      B  ,    8.3    ,  78800
      B  ,    9.5    ,  84140
      B  ,    9.7    ,  86230
      B  ,   10.0    ,  80210
      C  ,    0.0    ,  35370
      C  ,    0.0    ,  35820
      C  ,    1.2    ,  40800
      C  ,    1.6    ,  42440
      C  ,    2.0    ,  42660
      C  ,    2.6    ,  47460
      C  ,    2.9    ,  48290
      C  ,    3.1    ,  51210
      C  ,    4.4    ,  57200
      C  ,    4.5    ,  55620
      C  ,    5.0    ,  56750
      C  ,    5.1    ,  56670
      C  ,    5.7    ,  61500
      C  ,    5.9    ,  61700
      C  ,    6.8    ,  64910
      C  ,    8.1    ,  71540
      C  ,    8.5    ,  72010
      C  ,    9.5    ,  79150
      C  ,    9.6    ,  77310
      C  ,   10.0    ,  82450
      C  ,   10.0    ,  80810
